"","spp","ncells","nrecords","span"
"297","Trisetum canescens",491,646,267901.299281582
"298","Lepidospartum latisquamum",45,116,267693.085591435
"299","Antennaria media",224,344,267410.60225551
"300","Piperia leptopetala",32,37,267180.082791581
"301","Hymenopappus filifolius",131,234,266841.677689698
"302","Carex praticola",9,12,266821.594676437
"303","Frasera albomarginata",23,40,266820.276082585
"304","Polyctenium fremontii",35,57,266615.844434382
"305","Galium multiflorum",84,118,266584.80145229
"306","Oxyria digyna",199,270,266378.987572865
"307","Eriogonum nidularium",327,433,265784.327776185
"308","Raillardella argentea",203,322,265572.710653425
"309","Boerhavia coccinea",60,100,265348.313343433
"310","Polanisia dodecandra",33,46,265209.050684042
"311","Ruppia cirrhosa",52,84,265075.301381697
"312","Polemonium carneum",34,86,265022.887081648
"313","Aliciella triodon",11,21,264939.881198559
"314","Cardamine cordifolia",10,13,264587.164134108
"315","Calamagrostis breweri",29,48,264369.317329783
"316","Boechera paupercula",51,70,264353.772889293
"317","Chylismia claviformis",1353,1978,264183.964826448
"318","Cordylanthus kingii",43,64,264118.382763956
"319","Hemitomes congestum",37,44,263943.830134748
"320","Pleuropogon californicus",219,424,263679.194366695
"321","Draba breweri",192,284,263464.01865466
"322","Lysichiton americanus",31,43,263377.0230765
"323","Ranunculus flabellaris",5,10,263225.154761222
"324","Potamogeton illinoensis",43,71,263047.968184813
"325","Arctostaphylos hispidula",54,151,262921.611922546
"326","Eleocharis coloradoensis",22,24,262920.65519048
"327","Castilleja attenuata",474,568,262699.948651596
"328","Isoetes howellii",160,269,262575.049616056
"329","Cryptantha nemaclada",65,92,262193.384702158
"330","Plagiobothrys arizonicus",390,532,261838.257337523
"331","Stipa diegoensis",82,157,261770.717807428
"332","Cirsium crassicaule",19,52,261599.027406046
"333","Chenopodium glaucum",31,49,261561.824125054
"334","Nama stenocarpa",28,61,261523.746798901
"335","Silene parishii",126,215,261165.994522207
"336","Chenopodium incanum",60,76,261017.976751912
"337","Gayophytum decipiens",75,99,260825.699807634
"338","Cryptogramma acrostichoides",324,454,260403.914601787
"339","Triglochin concinna",74,95,259791.150348388
"340","Rhododendron occidentale",603,909,259481.043828141
"341","Conioselinum pacificum",6,9,259413.099562439
"342","Sambucus racemosa",391,532,259137.912973667
